FemNest,FemaleTreatment,Nest,BirdID,Fem120Mass,MalesGiven,TimeLay,ClutchSize,NumFertile,PercFertility,NumHatched,HatchingSuccess,NumFledged,FledgingSuccess,D0BroodMass,D10BroodMass
5,C,A,F3931,16.69,2,1,6,5,83.3,5,100,4,80,4.35,46.05
6,S,C,F3935,15.38,2,8,5,4,80,4,100,2,50,2.55,25.99
4,C,D,F4018,14.83,1,1,7,3,42.9,3,100,3,100,3.21,
3,S,E,F4051,13.2,4,5,4,3,75,3,100,2,66.66666667,2.38,20.95
9,C,F,F4052,16.29,1,1,6,6,100,6,100,5,83.33333333,4.98,54.14
2.3,S,G,F4058,14.14,1,5,5,5,100,5,100,4,80,4.04,40.84
16,C,H,F4061,16.95,1,5,4,3,75,3,100,3,100,2.03,28.22
7.2,S,I,F4068,12.72,1,7,6,6,100,0,0,0,0,0,0
10,S,J,F4066,15.99,3,,0,,,,,0,0,0,0
12,C,K,F4069,14.35,1,8,5,5,100,5,100,5,100,4.62,48.55
11,S,L,F4074,16.16,2,2,5,3,60,3,100,3,100,2.5,28.33
20,S,M,F4092,13.2,3,,0,,,,,0,0,0,0
19,C,N,F4095,12.91,2,8,4,3,100,3,100,3,100,2.32,32.76
15,S,O,F4131,15.47,1,2,3,3,100,3,100,3,100,2.35,19.66
23,C,P,F4138,15.56,3,0,3,3,100,3,100,3,100,,34.66
27,C,Q,F4143,13.48,2,6,5,2,40,2,100,2,100,1.8,19.5
22,S,R,F4145,13.1,2,5,5,5,100,4,80,0,0,,0
25,S,S,F4146,12.94,2,,0,,,,,0,0,0,0
29,S,T,F4158,14.46,2,4,5,5,100,5,100,5,100,4.76,53.69
14,C,U,F4165,16.33,2,5,4,4,100,4,100,4,100,3.08,25.65
